Unnamed: 0,name,latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,conditions,description,icon,Bad API Request:Invalid location parameter value.
0,"Islamabad, Pakistan",33.708,73.07,2023-11-17,24.2,14.3,18.3,24.2,14.3,18.3,-1.1,27.7,0.0,0.0,9.4,345.9,1019.5,24.1,163.7,14.2,6.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
1,"Islamabad, Pakistan",33.708,73.07,2023-11-18,23.1,14.9,18.3,23.1,14.9,18.3,-1.7,26.1,0.0,0.0,7.6,32.8,1016.9,24.1,119.3,10.2,5.0,Overcast,Cloudy skies throughout the day.,cloudy,
2,"Islamabad, Pakistan",33.708,73.07,2023-11-19,22.7,15.8,18.4,22.7,15.8,18.4,-1.0,27.3,0.0,0.0,7.9,83.9,1017.6,24.1,118.2,10.4,5.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Islamabad, Pakistan",33.708,73.07,2023-11-20,23.8,14.2,18.0,23.8,14.2,18.0,0.1,30.8,0.0,0.0,10.1,341.9,1017.8,24.1,157.5,13.7,6.0,Clear,Clear conditions throughout the day.,clear-day,
4,"Islamabad, Pakistan",33.708,73.07,2023-11-21,23.8,14.1,17.8,23.8,14.1,17.8,0.3,31.3,0.0,0.0,11.2,337.0,1016.3,24.1,145.6,12.7,6.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Islamabad, Pakistan",33.708,73.07,2023-11-22,24.3,14.0,17.9,24.3,14.0,17.9,-1.2,28.0,0.0,0.0,8.6,344.6,1013.2,24.1,178.7,15.5,6.0,Clear,Clear conditions throughout the day.,clear-day,
6,"Islamabad, Pakistan",33.708,73.07,2023-11-23,23.7,14.8,18.0,23.7,14.8,18.0,-1.5,27.1,0.0,0.0,9.7,72.0,1013.2,24.1,154.3,13.5,6.0,Clear,Clear conditions throughout the day.,clear-day,
7,"Islamabad, Pakistan",33.708,73.07,2023-11-24,23.4,14.8,18.1,23.4,14.8,18.1,-1.3,27.2,0.0,0.0,9.4,10.6,1016.2,24.1,134.1,11.5,5.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
8,"Islamabad, Pakistan",33.708,73.07,2023-11-25,22.3,15.5,18.1,22.3,15.5,18.1,-0.1,29.5,0.0,0.0,7.2,96.7,1015.0,24.1,96.6,8.4,4.0,Overcast,Cloudy skies throughout the day.,cloudy,
9,"Islamabad, Pakistan",33.708,73.07,2023-11-26,23.0,16.7,18.6,23.0,16.7,18.6,0.2,29.3,0.0,0.0,10.1,24.0,1016.7,24.1,103.9,9.0,4.0,Overcast,Cloudy skies throughout the day.,cloudy,
10,"Islamabad, Pakistan",33.708,73.07,2023-11-27,21.4,14.7,16.9,21.4,14.7,16.9,2.7,38.8,0.0,0.0,12.6,335.4,1018.0,24.1,111.9,9.9,4.0,Overcast,Cloudy skies throughout the day.,cloudy,
11,"Islamabad, Pakistan",33.708,73.07,2023-11-28,20.8,13.8,16.1,20.8,13.8,16.1,2.9,41.6,0.0,0.0,13.3,322.2,1017.5,24.1,112.9,9.6,5.0,Overcast,Cloudy skies throughout the day.,cloudy,
12,"Islamabad, Pakistan",33.708,73.07,2023-11-29,15.2,12.1,14.1,15.2,12.1,14.1,6.1,60.3,2.8,16.67,10.8,321.5,1017.5,24.1,27.9,2.4,1.0,Overcast,Cloudy skies throughout the day.,cloudy,
13,"Islamabad, Pakistan",33.708,73.07,2023-11-30,14.8,11.3,12.7,14.8,11.3,12.7,9.2,79.5,7.0,33.33,8.6,349.9,1016.8,22.0,36.4,3.0,1.0,Overcast,Cloudy skies throughout the day.,cloudy,
